GivenName,Surname,City,StateFull,CountryFull,EmailAddress,Username,TelephoneNumber,Birthday,Occupation,Company
Johnny,Snyder,Vancouver,"British Columbia",Canada,JohnnySSnyder@rhyta.com,Whearding,604-433-1644,5/28/1989,"Financial investigator","Grass Roots Yard Services"
Harold,Dick,"Sault Ste Marie",Ontario,Canada,HaroldJDick@einrot.com,Oustonly,705-943-3607,9/1/1945,"Tree trimmer",Profitpros
Robert,Moretz,Sudbury,Ontario,Canada,RobertCMoretz@dayrep.com,Mouldither,705-239-1638,3/23/1949,"Medical transcriptionist","Franklin Music"
Erica,Moore,Belleville,Ontario,Canada,EricaTMoore@armyspy.com,Posely,613-920-3386,10/29/1998,"Medical technologist","Brilliant Home Designs"
Laura,Reale,Cardston,Alberta,Canada,LauraJReale@cuvox.de,Sinceplued82,403-653-2348,11/24/1982,"Justice of the peace","Wheels Discount Auto"
James,Pak,Toronto,Ontario,Canada,JamesSPak@einrot.com,Peireggived,416-277-5878,7/25/1937,"Engine and other machine assembler","Harmony House"
Julio,Hall,Kingston,Ontario,Canada,JulioMHall@superrito.com,Tossis,613-533-7715,6/6/1972,"Broadcast captioner","Funtown toys"
Dorothy,Jolly,Burnaby,"British Columbia",Canada,DorothyWJolly@armyspy.com,Gaidge,604-415-7319,9/6/1997,Cryptanalyst,"Buttrey Food & Drug"
Debra,Johnson,Bashaw,Alberta,Canada,DebraPJohnson@dayrep.com,Succubly1962,780-372-4860,1/13/1962,"Material dispatching","Shoe Pavilion"
Christopher,Dulaney,Wotton,Quebec,Canada,ChristopherHDulaney@rhyta.com,Herfin,819-828-6770,4/26/1989,"Artificial inseminator","Simply Save"
Andrew,Simpson,"Baie St Paul",Quebec,Canada,AndrewDSimpson@fleckens.hu,Eavere85,418-240-8878,5/18/1985,"Military occupation","Rustler Steak House"
James,Devera,Kamsack,Saskatchewan,Canada,JamesRDevera@rhyta.com,Hatelve72,306-542-7541,4/3/1972,"Extruding, forming, pressing, and compacting machine tender","Circuit City"
Silvia,Jackson,Sherbrooke,Quebec,Canada,SilviaWJackson@rhyta.com,Suppen,819-823-3365,1/11/1962,Demographer,"National Hardgoods Distributors"
Jill,Anders,Mission,"British Columbia",Canada,JillJAnders@armyspy.com,Novence1994,604-826-9280,1/17/1994,"Ophthalmic laboratory technician","AJ Bayless"
Pearl,Grant,Widewater,Alberta,Canada,PearlBGrant@dayrep.com,Trequirsice,780-369-0013,12/26/1999,"Mathematical statistician","Exact Solutions"
Jim,Taylor,Streetsville,Ontario,Canada,JimSTaylor@teleworm.us,Makess,905-593-5939,4/2/1945,Homemaker,Gallenkamp
Kathleen,Sletten,Vegreville,Alberta,Canada,KathleenKSletten@cuvox.de,Pelf1982,780-768-3805,4/24/1982,"Audio-visual collections specialist","Good Guys"
Jeffrey,Salinas,Ottawa,Ontario,Canada,JeffreyKSalinas@superrito.com,Dolovedes,613-520-4688,5/2/1965,"Airline steward","Alpha Beta"
Mary,Wade,"Prince George","British Columbia",Canada,MaryBWade@rhyta.com,Camerwas,250-960-1965,7/4/1953,"Oral surgeon","Deco Refreshments, Inc."
Bruno,Buford,"Crowsnest Pass",Alberta,Canada,BrunoJBuford@cuvox.de,Corsoodualf79,403-563-1665,5/5/1979,Exterminator,"The Lawn Guru"
Betty,Roberts,Toronto,Ontario,Canada,BettyHRoberts@einrot.com,Irly1992,647-202-0070,11/27/1992,"Housing relocator","Multi Tech Development"
Ruby,Wilkerson,Frankford,Ontario,Canada,RubyRWilkerson@jourrapide.com,Noway1971,613-398-7948,11/6/1971,"Information security specialist","Network Air"
Victor,Beard,"Thunder Bay",Ontario,Canada,VictorMBeard@teleworm.us,Harturch,807-628-5485,5/22/1946,"Audio-visual collections specialist","Audio Visions"
Margaret,Garner,Tofino,"British Columbia",Canada,MargaretLGarner@fleckens.hu,Aliers,250-670-2837,10/14/1939,"Tumbling barrel painter",Monmax
Terry,Lopez,Vancouver,"British Columbia",Canada,TerryFLopez@cuvox.de,Shathe,604-601-5766,7/18/1954,"Passenger service agent","Lafayette Radio"
Adele,Slusher,"New Glasgow","Nova Scotia",Canada,AdeleJSlusher@superrito.com,Seeting,902-695-1658,4/10/1975,"Driver-sales worker","Red Food"
Jeffrey,Garrett,Toronto,Ontario,Canada,JeffreyAGarrett@jourrapide.com,Sawles,416-501-2778,2/21/1938,"Meat packer","Canal Villere"
Sondra,Howard,Yellowknife,"Northwest Territories",Canada,SondraLHoward@dayrep.com,Trupoin,867-669-9534,4/19/1982,"Telephone station installer","Matrix Design"
Erline,Jordan,"Port Coquitlam","British Columbia",Canada,ErlineCJordan@dayrep.com,Royes1995,604-464-0099,6/29/1995,"Automotive glass repairer","Play Town"
Norman,Lynch,Calgary,Alberta,Canada,NormanMLynch@fleckens.hu,Barpries1992,403-269-3361,6/3/1992,Hairdresser,"Rite Solution"
William,Scott,Saskatoon,Saskatchewan,Canada,WilliamSScott@teleworm.us,Thentim,306-221-8926,5/21/1994,"Correctional treatment specialist","Whitlocks Auto Supply"
Edward,Calhoun,Ponoka,Alberta,Canada,EdwardBCalhoun@einrot.com,Thibles,403-785-9607,4/22/1958,"Insurance sales agent","Bombay Company"
Theresa,Santana,Edmonton,Alberta,Canada,TheresaFSantana@dayrep.com,Prooken,780-288-0454,12/13/1985,"Brokerage sales assistant","Life Map"
Ralph,Knowles,Montreal,Quebec,Canada,RalphJKnowles@cuvox.de,Hishowas,514-248-9742,10/4/1964,"Claims investigator",Maxi-Tech
Tony,Ellis,Edam,Saskatchewan,Canada,TonyMEllis@armyspy.com,Aremin,306-397-0049,2/18/1985,"Urban and transportation geographer","Signa Air"
Rigoberto,Giles,"Medicine Hat",Alberta,Canada,RigobertoJGiles@armyspy.com,Whileme,403-502-7732,5/7/1976,Rancher,Maxaprofit
William,Robbins,Streetsville,Ontario,Canada,WilliamMRobbins@dayrep.com,Otioure,905-814-8784,6/24/1986,"HIV/AIDS nurse",Naugles
Anthony,Humphrey,"St Agapit",Quebec,Canada,AnthonyPHumphrey@fleckens.hu,Thany1947,418-918-7336,7/6/1947,"Power plant dispatcher",Sportmart
Michael,Ramirez,Hamilton,Ontario,Canada,MichaelMRamirez@rhyta.com,Hatiagoorah,905-807-0620,12/10/1996,"Marine biologist","Specific Appraisals"
David,Prestridge,Montreal,Quebec,Canada,DavidKPrestridge@teleworm.us,Stropeten1998,514-909-4334,7/4/1998,"Credit authorizer","Circuit Design"
Ray,Colton,Belleville,Ontario,Canada,RayMColton@jourrapide.com,Vour1947,613-849-9504,6/25/1947,"Purchase-and-sales clerk",Roberd's
Jose,Haynes,Ottawa,Ontario,Canada,JoseMHaynes@armyspy.com,Andist,613-597-1751,11/7/1939,Ironworker,"Bell Markets"
Jose,Arevalo,Toronto,Ontario,Canada,JoseGArevalo@rhyta.com,Thericir,416-737-3662,6/26/1962,Embalmer,Adaptaz
Eric,Palomares,Windsor,Ontario,Canada,EricEPalomares@superrito.com,Reeme1989,519-973-3244,9/12/1989,"Executive recruiter","Destiny Realty Solutions"
David,Schroeder,Calgary,Alberta,Canada,DavidSSchroeder@cuvox.de,Shight1995,403-806-3690,10/21/1995,"CAD operator","House Works"
Gloria,Blackburn,Markham,Ontario,Canada,GloriaPBlackburn@jourrapide.com,Suff1951,905-294-0185,4/15/1951,"Public health social worker","Omni Source"
Phillip,Davis,Pembroke,Ontario,Canada,PhillipTDavis@einrot.com,Linut1984,613-633-2980,10/8/1984,"Financial clerk",Merrymaking
Phyllis,Lavoie,Toronto,Ontario,Canada,PhyllisKLavoie@jourrapide.com,Awar1963,416-564-2502,10/12/1963,"Administrative director","EnviroSource Design"
Edith,Washington,Teeswater,Ontario,Canada,EdithRWashington@superrito.com,Wrontined,519-392-8025,9/20/1938,"Station agent",Vitagee
Anna,Silver,Calgary,Alberta,Canada,AnnaDSilver@cuvox.de,Troys1991,403-444-1760,3/3/1991,"Tractor-trailer driver","Integra Wealth Planners"
Robyn,Pridgen,Surrey,"British Columbia",Canada,RobynGPridgen@dayrep.com,Unellen,604-543-9384,5/14/1945,"Postsecondary career-technical teacher","Action Auto"
Phyllis,Matteson,Montreal,Quebec,Canada,PhyllisSMatteson@armyspy.com,Prok1964,514-940-1620,10/12/1964,"Dinkey operator","Square Circle"
Charles,Dukes,Toronto,Ontario,Canada,CharlesTDukes@teleworm.us,Heyese,647-746-1009,5/13/1972,"Offset lithographic press operator","Cala Foods"
Geraldine,Sklar,Vancouver,"British Columbia",Canada,GeraldineFSklar@cuvox.de,Stakinan,604-603-9165,9/27/1980,"Emergency and disaster response worker","Realty Zone"
Charlene,Ring,Penticton,"British Columbia",Canada,CharlenePRing@teleworm.us,Pooked,250-486-7374,5/9/1968,Econometrician,"Square Circle"
Ronald,Haynes,Hamilton,Ontario,Canada,RonaldJHaynes@jourrapide.com,Tegaves,905-929-1115,3/8/1985,"Financial services sales agent","Coffey's Market"
Colby,Sherman,Kingston,Ontario,Canada,ColbyLSherman@cuvox.de,Acture,613-331-4628,10/19/1994,"Business management analyst","Afforda Merchant Services"
Lorraine,Driscoll,Lacorne,Quebec,Canada,LorraineJDriscoll@gustr.com,Sawassin1969,819-799-5029,12/21/1969,"Construction manager","The Warner Brothers Store"
Claire,West,"St Laurent",Quebec,Canada,ClaireFWest@armyspy.com,Peare1941,514-831-5840,10/1/1941,"Electrical inspector","Crafts & More"
Elizabeth,Swift,Montreal,Quebec,Canada,ElizabethESwift@armyspy.com,Papsiondtore,514-805-7354,9/2/1965,"Finance officer",VitaGrey
Wayne,Brody,Sudbury,Ontario,Canada,WayneCBrody@dayrep.com,Anninallard2003,705-566-2549,5/25/2003,Compositor,"E.J. Korvette"
Michael,Crawford,Toronto,Ontario,Canada,MichaelSCrawford@rhyta.com,Azzent,416-717-9363,3/28/1978,"Palliative care nurse","Avant Garde Interior Designs"
